Ligand	Receptor	interaction.type	sourcedb	host.organism
JAG2	NOTCH3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GHR	GRB2	-	MI:0468(hprd)	-
XCL1	ADRA1D	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CTGF	LRP1	-	MI:0468(hprd)	-
CTGF	ERBB4	-	MI:0468(hprd)	-
STX1A	SCNN1G	-	MI:0468(hprd)	-
GNAI2	TSHR	-	MI:0468(hprd)	-
STX1A	DAPK1	-	MI:0468(hprd)	-
GHR	PTPN6	-	MI:0468(hprd)	-
PTMA	ESR1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
IL12B	IL12B	MI:0914(association)	MI:0000(corum)	taxid:9606(Homo sapiens)
STX1A	PSEN1	-	MI:0000(bind_translation)	-
PTMA	CAPNS1	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
SELPLG	SELE	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CTSL	RXRA	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
IFNL2	IFNLR1	-	MI:0468(hprd)	-
A2M	APOE	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PTMA	PHB2	-	MI:0468(hprd)	-
A2M	RHOA	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
DEFB4A	CCR6	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
CSN1S1	LTBP1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
LYPD3	PTPN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
EGFR	CD59	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
FASLG	YES1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
APOA5	RAB5B	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CXCL5	MTNR1B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL5	OXER1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IFNAR2	IFNAR2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
LAMA5	BCAM	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
PSEN1	ICAM5	-	MI:0468(hprd)	-
SERPINA3	ERBB2	-	MI:0468(hprd)	-
CD8A	HLA-F	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FGF8	SHC1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NELL2	LTBP4	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
NLGN2	NRXN1	-	MI:0468(hprd)	-
PLA2G10	PLA2R1	-	MI:0468(hprd)	-
MMP10	APOE	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
WFDC2	PTN	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
TCN2	RHOU	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
WFDC2	PTN	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PSEN1	DAG1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
EPHA10	CAMK2D	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
SEMA3G	RHOU	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CD8A	CD59	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
FGFR4	DIRAS3	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
PSG8	CELSR3	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CCL19	CCR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IL15	IL15RA	MI:0915(physical association)	MI:0465(dip)	-
IL15	IL15RA	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
INHBB	ACVR2B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL19	BDKRB2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL19	CNR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GHR	PTPRC	psi-mi:MI:0203(dephosphorylation reaction)	MI:0917(matrixdb)	-
FAM19A3	LDLR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CCL19	FPR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL19	CCR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PTMA	PHB2	-	MI:0000(bind_translation)	-
IL15	IL15RA	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
ANGPTL3	LPL	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
PTH	ADCY3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
PTH	GNAS	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FAM19A3	JPH1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
ANGPTL3	LPL	psi-mi:MI:0407(direct interaction)	MI:0000(uniprotpp)	-
INHBB	ACVR2B	-	MI:0468(hprd)	-
INHBB	IGSF1	-	MI:0468(hprd)	-
CCL19	TAS2R10	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TSHB	GPBAR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL19	ADCY9	psi-mi:MI:0914(association)	MI:0467(reactome)	-
INHBB	ACVR2B	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CCL19	HCAR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL19	ADRA2C	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL19	TAS2R31	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL19	CHRM4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PSEN1	GRB2	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
C1QA	CD93	-	MI:0468(hprd)	-
C1QA	CR1	-	MI:0468(hprd)	-
APLN	FPR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FAM19A3	PPP2CA	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PSEN1	DAG1	MI:0915(physical association)	MI:0465(dip)	-
PSEN1	DSG2	MI:0915(physical association)	MI:0465(dip)	-
SST	LPAR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SST	PTGER3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SST	OPRM1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SST	LPAR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SST	S1PR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SST	TAS2R39	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SST	OPRL1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SST	CCR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SST	RXFP3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FGFR4	GRB2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IL17RA	IL17RD	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
SCGB1D1	PLXNA1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
WFDC2	PTN	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CTSL	RXRA	-	MI:0468(hprd)	-
IL17RA	SLAMF1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
APLN	NPY2R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IL17RA	IL17RD	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
GALNT2	PTPN1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
APLN	FPR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
APLN	GRM4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SST	AGTR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FGFR4	DIRAS3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
SST	TAS2R7	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SST	ADRA2C	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SST	BDKRB1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SST	CCR10	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IFNA1	IFNAR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
FGF18	FGFR1	-	MI:0468(hprd)	-
C12orf10	AGTRAP	psi-mi:MI:0915(physical association)	MI:0000(virushost)	-
VASP	NR4A1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
MMP9	CD44	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
LAMA5	BCAM	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
C12orf10	AGTRAP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
FGF18	FGFR2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
JAG2	NOTCH3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
LPL	APOE	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
MST1	MST1R	MI:0915(physical association)	MI:0465(dip)	-
NLGN3	NRXN3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
TNFRSF1A	TRPC4AP	-	MI:0468(hprd)	-
CHRDL1	LRP1B	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PXDN	PLAUR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
NELL2	PRKAR1A	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
TNFSF13B	CD40	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
EGFR	ATP1B1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CXCL5	GPR55	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CTSL	TLR9	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL5	P2RY13	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NELL2	PRKAR1A	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CXCL8	PIGR	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
CXCL5	NPY2R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TNFSF13B	TNFRSF13C	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
TNFRSF1A	PTPN6	-	MI:0468(hprd)	-
PNOC	OXER1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HLA-B	KLRD1	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
PNOC	LPAR5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PNOC	TAS2R10	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
F2	P2RY2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
F2	GPR132	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CNTF	IL6R	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
PNOC	HTR1F	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
DEFB4A	CCR6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PPY	GABBR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PPY	GRM2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PPY	BDKRB1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PPY	TAS2R1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PPY	SSTR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PPY	NPY2R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
COL18A1	GPC1	-	MI:0468(hprd)	-
PNOC	P2RY12	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PNOC	PTGER3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PNOC	CHRM4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PDAP1	APP	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
EGFR	CD59	MI:0407(direct interaction)	MI:0469(intact)	taxid:9606(Homo sapiens)
PDAP1	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
GNRH2	APP	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
ST6GAL1	CD22	-	MI:0468(hprd)	-
PRDX4	NR4A1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
XCL1	F2RL2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PRSS23	LRP2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CXCL8	PIGR	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CGB2	NCKAP1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
IL25	IL17RB	-	MI:0468(hprd)	-
FGF12	NEDD4	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
CXCL8	S1PR5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CXCL8	SSTR5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPPA	HNF4A	-	MI:0468(hprd)	-
MEGF6	EGFR	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
NPPA	HNF4A	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
WNT16	NR2F2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PKM	HDAC6	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CCL27	CCR10	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
S100A9	CUL5	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TNFSF13B	TNFRSF13C	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
CCL27	HTR1B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL27	CCR6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL27	DRD2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
XCL1	GNA11	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL27	S1PR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
LGALS1	VCAM1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CCL27	CCR10	-	MI:0468(hprd)	-
MLN	GRM8	psi-mi:MI:0914(association)	MI:0467(reactome)	-
DLK1	NOTCH3	psi-mi:MI:0914(association)	MI:0467(reactome)	-
MLN	GPRC6A	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
MLN	NPFFR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
MLN	P2RY10	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GLB1L2	P2RX1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
XCL1	AGTR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EBI3	CANX	-	MI:0468(hprd)	-
EGFR	OLFM1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
AGT	GRM4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EBI3	CANX	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
AGT	TACR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PENK	FPR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
XCL1	FFAR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
STX1A	PSEN1	-	MI:0462(bind)	-
TNFRSF1A	JPH1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
NLGN3	TGFBR1	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
NPY	NPY2R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPY	TAS2R8	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPY	NPY5R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPY	ACKR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPY	GRM8	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPY	CASR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPY	CCR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NPY	GNA12	psi-mi:MI:0914(association)	MI:0467(reactome)	-
NPY	GRM3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
COL4A3	ANTXR2	-	MI:0468(hprd)	-
KLK4	TYRO3	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
TNF	TNFRSF1A	-	MI:0462(bind)	-
TNF	TNFRSF1A	-	MI:0000(bind_translation)	-
TNF	TNFRSF1A	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TNF	TNFRSF1A	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
TNF	TRAF2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TNF	NCR3LG1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TNF	PTPRS	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TNF	TNFRSF1A	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
TNF	CD276	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
TNF	TRAF2	MI:0915(physical association)	MI:0465(dip)	-
TNF	RIPK1	MI:0915(physical association)	MI:0465(dip)	-
TNF	TNFRSF1A	MI:0407(direct interaction)	MI:0465(dip)	-
EGFR	PTPRJ	-	MI:0468(hprd)	-
TNF	TNFRSF1A	-	MI:0468(hprd)	-
TNF	TRAF2	-	MI:0468(hprd)	-
TNF	ADAM9	-	MI:0468(hprd)	-
TNF	RIPK1	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
TNF	TNFRSF1A	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
TNF	TRAF2	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
TNF	TNFRSF1A	MI:0915(physical association)	MI:0469(intact)	taxid:9606(Homo sapiens)
TNF	TNFRSF1A	MI:0407(direct interaction)	MI:0469(intact)	taxid:9606(Homo sapiens)
TNF	TNFRSF1A	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
TNF	TNFRSF1A	psi-mi:MI:0407(direct interaction)	MI:0917(matrixdb)	-
GNRH2	GRPR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TNF	TRAF2	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
TNF	RIPK1	psi-mi:MI:0915(physical association)	MI:0917(matrixdb)	-
TNF	RIPK1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TNF	TRAF2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
TNF	TNFRSF1A	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
STX1A	DAPK1	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
GDNF	NCAM1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
IL12B	IL12B	MI:0915(physical association)	MI:0465(dip)	-
LAMB2	LAMA5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNRH2	AGTR2	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GNRH2	GRM8	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GNRH2	F2RL3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
GNRH2	GRK5	psi-mi:MI:0914(association)	MI:0467(reactome)	-
STX1A	ITPR1	psi-mi:MI:0914(association)	MI:0467(reactome)	-
GNRH2	MLNR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
COL17A1	EGFR	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PCSK9	SCNN1G	psi-mi:MI:0914(association)	MI:0000(quickgo)	-
MMP9	EPHB2	-	MI:0468(hprd)	-
GIF	ATP4A	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CXCL2	EPS8	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
OLFM2	OLFM1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
PCSK9	PCSK9	MI:0407(direct interaction)	MI:0469(intact)	taxid:9606(Homo sapiens)
TTR	DDR1	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
XCL1	KISS1R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
XCL1	NPFFR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL27	GPER1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL27	CCR10	MI:0915(physical association)	MI:0465(dip)	-
PKM	GRB7	MI:0407(direct interaction)	MI:0463(biogrid)	taxid:32644(unidentified)
XCL1	CCKAR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL27	CXCR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL27	TAS2R60	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL27	NPY	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CCL27	S1PR1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL27	GRM6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL27	DRD3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL27	ADRA2A	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL27	GNA12	psi-mi:MI:0914(association)	MI:0467(reactome)	-
PKM	GNG12	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
CCL27	GRM8	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL27	ADORA2B	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CCL27	HRH3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
PCSK9	PCSK9	MI:0407(direct interaction)	MI:0465(dip)	-
RPS19	ATP1B3	MI:0403(colocalization)	MI:0463(biogrid)	taxid:32644(unidentified)
FBLN5	MFAP3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
RNASET2	TRAF2	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
COL9A2	MAG	-	MI:0468(hprd)	-
SFN	ESR1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
NTS	F2RL2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NTS	TRHR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NTS	LPAR4	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NTS	KISS1R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NTS	F2R	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NTS	P2RY2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NTS	CCKAR	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
NTS	CHRM5	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
ZG16B	CDH1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CCL16	TAS2R14	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HLA-B	KIR2DL3	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
HLA-B	LILRB1	-	MI:0468(hprd)	-
CCL16	TAS2R3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL16	P2RY13	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
SFN	KRT1	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CCL16	APP	psi-mi:MI:0914(association)	MI:0467(reactome)	-
CCL16	TAS2R31	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
EGFR	ATP1B1	psi-mi:MI:0915(physical association)	MI:0974(innatedb)	-
FGF13	FGF13	-	MI:0468(hprd)	-
CCL16	OPRM1	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL16	GRM6	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
AVP	AVPR2	-	MI:0468(hprd)	-
CCL16	SSTR2	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
HLA-B	MSN	MI:0915(physical association)	MI:0463(biogrid)	taxid:32644(unidentified)
CCL16	MTNR1B	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
CCL16	CCR3	psi-mi:MI:0915(physical association)	MI:0467(reactome)	-
